YEAR,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha) - Recharge Worthy Area (ha).3,Total Geographical Area (ha) - Hilly Area,Total Geographical Area (ha),Ground Water Recharge (ham) - Rainfall Recharge.3,Ground Water Recharge (ham) - Canals.3,Ground Water Recharge (ham) - Surface Water Irrigation.3,Ground Water Recharge (ham) - Ground Water Irrigation.3,Ground Water Recharge (ham) - Tanks and Ponds.3,Ground Water Recharge (ham) - Water Conservation Structure.3,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m) - Domestic.3,Ground Water Extraction for all uses (ha.m) - Industrial.3,Ground Water Extraction for all uses (ha.m) - Irrigation.3,Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham).1 - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham).1 - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham).1 - Saline
2023,ODISHA,MAYURBHANJ,1522.678193,834016,218556,1052572,102682.95,4092,14315.07,22111.73,3152.6,893.328,147247.65,147247.65,10825.41,136422.24,7921.377825,223.21,50713.03,58857.64,43.14372788,8297.08,77188.89,0,0,136422.24,0,136422.24,0
2023,ODISHA,NABARANGAPUR,1570.814381,534464,31117,565581,52073.85,209.08,1255.54,4442.1,1127.19,507.962,59615.72,59615.72,5443.41,54172.31,3905.751668,159.12,16095.47,20160.33,37.21519352,4141.86,33775.88,0,0,54172.31,0,54172.31,0
2023,ODISHA,NAYAGARH,1409.62936,257845,133196,391041,27059.25,538.16,3860.89,5133.09,1553.73,361.44,38506.54,38506.54,2958.8,35547.74,3393.88534,44.2,12209.09,15647.17,44.01734119,8151.34,19847.96,0,0,35547.74,0,35547.74,0
2023,ODISHA,NUAPADA,1120.570337,308304,77004,385308,23645.6,1157.4,2195.94,5132.78,915.88,280.952,33328.54,33328.54,2699.55,30628.99,1935.477105,101.66,16720.94,18758.09,61.24292704,2030.79,11775.61,0,0,30628.99,0,30628.99,0
2023,ODISHA,PURI,1520.624108,258611,0,258611,46712.63,3712.94,10330.2,11529.66,3069.06,440.342,75794.85,75794.85,5915.06,69879.78,5849.1834,0,27522.51,33371.75,52.36556285,5336.4,28686.23,0,0,60836.05,9043.73,60836.05,9043.73
2023,ODISHA,RAYAGADA,1337.425427,365973,362225,728198,29135.38,403.38,1594.68,2361.35,2306.41,126.398,35927.6,35927.6,2749.22,33178.38,3046.153417,718.25,7291.83,11056.21,33.3235378,3199.55,21968.79,0,0,33178.38,0,33178.38,0
2023,ODISHA,SAMBALPUR,1423.586611,567092,95188,662280,46419.35,1100.8,9287.55,5379.99,2198.57,362.658,64748.92,64748.92,5507.91,59241.01,3238.561853,1067.43,13365.82,17671.78,29.83031518,3356.47,41451.31,0,0,59241.01,0,59241.01,0
2023,ODISHA,SUBARNAPUR,1335.283647,232054,4655,236709,19129.57,654.03,3117.78,3111.39,1108.34,193.54,27314.65,27314.65,2018.67,25295.98,1913.44242,59.67,10366.12,12339.26,48.7795294,1988.05,12940.84,0,0,25295.98,0,25295.98,0
2023,ODISHA,SUNDARGARH,1279.920592,820348,154721,975069,71694.53,390.5,3124.91,7205.95,4054.98,592.386,87063.27,87063.27,6266.61,80796.66,6230.716641,2236.52,24838.82,33306.05,41.22206289,6671.02,47050.31,0,0,80796.66,0,80796.66,0
2023,PUDUCHERRY,KARAIKAL,794.4752174,16100,0,16100,1300.43,2163.1,0,0,419.07,420,4302.6,4302.6,430.27,3872.32,920.5998975,17.58,528.78,1466.96,28.37368812,584.03,2741.94,0,0,3872.32,0,3872.32,0
2023,PUDUCHERRY,PUDUCHERRY,1478,32200,0,32200,5233.76,122.29,0,6199.64,2278.62,1670,15504.31,15504.31,1277.75,14226.56,4184.444498,547.2,6888.5,11620.15,81.67926751,4484.28,2401.48,0,0,14226.56,0,14226.56,0
2023,PUNJAB,Amritsar,646.2683642,267640,0,267640,34445.05,38071.56,11649.16,63583.89,273.51,0,148023.21,148023.21,14802.3,133220.91,6391.807,438.4082,230451.3852,237281.59,178.1113716,6453.16,0,0,0,133220.91,0,133220.91,0
2023,PUNJAB,Barnala,518.522537,141301,0,141301,13486.15,22988.67,5152.38,13645.28,147.61,0,55420.09,55420.09,5542,49878.09,2515.45225,43.93692,108961.7442,111521.14,223.5874309,2539.61,0,0,0,49878.09,0,49878.09,0
2023,PUNJAB,Bathinda,361.2273905,337424,0,337424,21805.46,27099.65,46637.65,24810.74,345.23,0,120698.73,120698.73,12069.89,108628.84,5858.7464,347.6898,111740.6506,117947.09,105.0014895,5915,21623.42,0,0,108628.84,0,108628.84,0
2023,PUNJAB,Faridkot,308.0915934,147598,0,147598,9411.85,13428.41,16933.63,23286.8,93.28,0,63153.97,63153.97,6315.4,56838.57,2607.05265,66.46276,93694.8861,96368.39,128.8004431,2632.09,0,0,0,56838.57,0,56838.57,0
2023,PUNJAB,Fatehgarh Sahib,685.099137,114246,0,114246,16196.41,8567.74,2428.32,12025.95,129.9,0,39348.32,39348.32,3934.83,35413.49,2530.30045,2588.58804,71237.86748,76356.77,215.6149253,2554.59,0,0,0,35413.49,0,35413.49,0
2023,PUNJAB,Fazilka,206.7432014,273954,0,273954,9621.93,23086.95,28255.97,16876,238.95,0,78079.8,78079.8,7807.99,70271.81,5069.5142,44.12912,90399.77182,95513.41,76.20764287,5118.19,31435.32,0,0,70271.81,0,70271.81,0
2023,PUNJAB,Firozpur,411.4586332,251953,0,251953,20924.45,55108.5,19334.22,51671.31,137.01,0,147175.49,147175.49,14717.55,132457.94,3480.6254,134.21326,177046.4704,180661.31,131.8911573,3514.05,6579.1,0,0,132457.94,0,132457.94,0
